validation,n,models,families,benchmarks,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,heldout_family
leave-family:Claude,14,3,1,10,12.14504270435822,14.655488778161827,2.141069907725792,0.5857928181712191,Claude
leave-family:Gemma,33,4,1,10,11.580104676303613,14.24416878230431,-9.94267912684796,0.5842915071945608,Gemma
leave-family:Llama4,14,2,1,7,11.494930729930234,14.016731741837736,4.932368290081785,0.16140593934921998,Llama4
leave-family:Mistral,20,3,1,9,11.125001547323453,13.653448395975614,8.512288423072384,0.571395861866012,Mistral
leave-family:Llama3,24,4,1,6,10.762663426899978,13.763079649105938,-10.082254652772317,0.5728756131876829,Llama3
leave-family:GPT4,10,1,1,10,10.407761618222565,17.81121474754064,-10.38715559861585,0.5493902953627063,GPT4
leave-family:Llama2,12,2,1,6,9.72829266772411,12.046799413083294,4.778109271801732,0.697708822252652,Llama2
leave-family:Phi,24,3,1,10,7.756912534432639,9.37711480826559,2.616917569160534,0.7221316482471392,Phi
leave-family:Gemini,6,4,1,2,7.040725186752844,10.095385113450284,-1.9590688402519991,0.2753255853383588,Gemini
leave-family:Qwen3,28,5,1,9,6.199116997442813,7.95349763680808,-4.913640785767806,0.5348578589671369,Qwen3
leave-family:DeepSeek,29,4,1,12,5.9151634204882,7.639215638970666,0.6330042636203037,0.7465280994356549,DeepSeek
leave-family:Qwen2,12,2,1,6,5.853135147832247,6.590174074278034,-0.2600513581017883,0.62562066843677,Qwen2
leave-family:OpenAI_o,24,4,1,8,5.196895883858707,7.181181786472328,2.906176131702578,0.63090853929173,OpenAI_o
