model,family,benchmark,observed,log_active_params,log_total_params,log_train_tokens,is_closed_source,scale_imputed,release_year_norm,saturation_2026,contamination_resistant,retained_v22,output_space
Claude-3.5-Sonnet,Claude,MMLU,1,4.248495242049359,4.248495242049359,9.615805480084347,1.0,1,2.5,93,0,1,2
Claude-3.5-Sonnet,Claude,ARC_C,1,4.248495242049359,4.248495242049359,9.615805480084347,1.0,1,2.5,97,0,1,2
Claude-3.5-Sonnet,Claude,GSM8K,0,4.248495242049359,4.248495242049359,9.615805480084347,1.0,1,2.5,98,0,1,1
Claude-3.5-Sonnet,Claude,HumanEval,1,4.248495242049359,4.248495242049359,9.615805480084347,1.0,1,2.5,97,0,1,0
Claude-3.5-Sonnet,Claude,MATH,1,4.248495242049359,4.248495242049359,9.615805480084347,1.0,1,2.5,95,0,1,0
Claude-3.5-Sonnet,Claude,MBPP,1,4.248495242049359,4.248495242049359,9.615805480084347,1.0,1,2.5,95,0,1,0
Claude-3.5-Sonnet,Claude,MMLU_Pro,1,4.248495242049359,4.248495242049359,9.615805480084347,1.0,1,2.5,89,1,0,2
Claude-3.5-Sonnet,Claude,BBH,0,4.248495242049359,4.248495242049359,9.615805480084347,1.0,1,2.5,92,0,0,1
Claude-3.5-Sonnet,Claude,GPQA_Diamond,1,4.248495242049359,4.248495242049359,9.615805480084347,1.0,1,2.5,94,1,0,2
Claude-3.5-Sonnet,Claude,AIME_2024,1,4.248495242049359,4.248495242049359,9.615805480084347,1.0,1,2.5,95,1,0,1
Claude-3.5-Sonnet,Claude,LiveCodeBench,1,4.248495242049359,4.248495242049359,9.615805480084347,1.0,1,2.5,92,1,0,0
Claude-3.5-Sonnet,Claude,IFEval,1,4.248495242049359,4.248495242049359,9.615805480084347,1.0,1,2.5,93,0,0,0
Claude-Opus-4,Claude,MMLU,0,5.298317366548036,5.298317366548036,9.903487552536127,1.0,1,3.4200000000000728,93,0,1,2
Claude-Opus-4,Claude,ARC_C,0,5.298317366548036,5.298317366548036,9.903487552536127,1.0,1,3.4200000000000728,97,0,1,2
Claude-Opus-4,Claude,GSM8K,0,5.298317366548036,5.298317366548036,9.903487552536127,1.0,1,3.4200000000000728,98,0,1,1
Claude-Opus-4,Claude,HumanEval,0,5.298317366548036,5.298317366548036,9.903487552536127,1.0,1,3.4200000000000728,97,0,1,0
Claude-Opus-4,Claude,MATH,0,5.298317366548036,5.298317366548036,9.903487552536127,1.0,1,3.4200000000000728,95,0,1,0
Claude-Opus-4,Claude,MBPP,0,5.298317366548036,5.298317366548036,9.903487552536127,1.0,1,3.4200000000000728,95,0,1,0
Claude-Opus-4,Claude,MMLU_Pro,0,5.298317366548036,5.298317366548036,9.903487552536127,1.0,1,3.4200000000000728,89,1,0,2
Claude-Opus-4,Claude,BBH,0,5.298317366548036,5.298317366548036,9.903487552536127,1.0,1,3.4200000000000728,92,0,0,1
Claude-Opus-4,Claude,GPQA_Diamond,1,5.298317366548036,5.298317366548036,9.903487552536127,1.0,1,3.4200000000000728,94,1,0,2
Claude-Opus-4,Claude,AIME_2024,0,5.298317366548036,5.298317366548036,9.903487552536127,1.0,1,3.4200000000000728,95,1,0,1
Claude-Opus-4,Claude,LiveCodeBench,1,5.298317366548036,5.298317366548036,9.903487552536127,1.0,1,3.4200000000000728,92,1,0,0
Claude-Opus-4,Claude,IFEval,0,5.298317366548036,5.298317366548036,9.903487552536127,1.0,1,3.4200000000000728,93,0,0,0
Claude-Sonnet-4,Claude,MMLU,0,4.382026634673881,4.382026634673881,9.798127036878302,1.0,1,3.4200000000000728,93,0,1,2
Claude-Sonnet-4,Claude,ARC_C,0,4.382026634673881,4.382026634673881,9.798127036878302,1.0,1,3.4200000000000728,97,0,1,2
Claude-Sonnet-4,Claude,GSM8K,0,4.382026634673881,4.382026634673881,9.798127036878302,1.0,1,3.4200000000000728,98,0,1,1
Claude-Sonnet-4,Claude,HumanEval,0,4.382026634673881,4.382026634673881,9.798127036878302,1.0,1,3.4200000000000728,97,0,1,0
Claude-Sonnet-4,Claude,MATH,0,4.382026634673881,4.382026634673881,9.798127036878302,1.0,1,3.4200000000000728,95,0,1,0
Claude-Sonnet-4,Claude,MBPP,0,4.382026634673881,4.382026634673881,9.798127036878302,1.0,1,3.4200000000000728,95,0,1,0
Claude-Sonnet-4,Claude,MMLU_Pro,0,4.382026634673881,4.382026634673881,9.798127036878302,1.0,1,3.4200000000000728,89,1,0,2
Claude-Sonnet-4,Claude,BBH,0,4.382026634673881,4.382026634673881,9.798127036878302,1.0,1,3.4200000000000728,92,0,0,1
Claude-Sonnet-4,Claude,GPQA_Diamond,1,4.382026634673881,4.382026634673881,9.798127036878302,1.0,1,3.4200000000000728,94,1,0,2
Claude-Sonnet-4,Claude,AIME_2024,0,4.382026634673881,4.382026634673881,9.798127036878302,1.0,1,3.4200000000000728,95,1,0,1
Claude-Sonnet-4,Claude,LiveCodeBench,1,4.382026634673881,4.382026634673881,9.798127036878302,1.0,1,3.4200000000000728,92,1,0,0
Claude-Sonnet-4,Claude,IFEval,0,4.382026634673881,4.382026634673881,9.798127036878302,1.0,1,3.4200000000000728,93,0,0,0
