spec,status,mae,mae_std,n,n_families,n_scored,iteration
Full,ok,9.359445572182878,1.1990357955757183,250,13,250,0
Full,ok,9.04597037982036,0.8842941401561467,250,13,250,1
Full,ok,8.800667661951948,0.9038621293803633,250,13,250,2
Full,ok,9.284454794895922,1.1778524420205845,250,13,250,3
Full,ok,9.630803705199169,1.1927881140106515,250,13,250,4
Full,ok,9.665849048304548,1.5130423591610902,250,13,250,5
Full,ok,9.105065617270284,1.0514111055083222,250,13,250,6
Full,ok,9.071211401041017,0.9334590092664034,250,13,250,7
Full,ok,9.322503508635975,1.060034804619779,250,13,250,8
Full,ok,10.19200813013845,1.7905147418517313,250,13,250,9
Full,ok,9.712707550130162,1.2386356121555162,250,13,250,10
Full,ok,9.742788496450977,1.2089687155055824,250,13,250,11
Full,ok,9.27998818761044,1.0082739001148986,250,13,250,12
Full,ok,9.681044613052036,1.3054006825735964,250,13,250,13
Full,ok,9.017662976863422,0.8556081045678897,250,13,250,14
Full,ok,9.562027243166925,1.1061842354184925,250,13,250,15
Full,ok,9.614644211973456,1.4187294261915824,250,13,250,16
Full,ok,9.382387841773053,0.896509235375668,250,13,250,17
Full,ok,9.30997873828874,0.9024438104204918,250,13,250,18
Full,ok,9.315333144286294,0.8604036104890842,250,13,250,19
Full,ok,9.374007660898611,1.2692382891640868,250,13,250,20
Full,ok,9.114723128827917,0.9345659981001386,250,13,250,21
Full,ok,8.79508823841844,0.4180776763454652,250,13,250,22
Full,ok,8.96553900548957,0.8292507930826537,250,13,250,23
Full,ok,9.862329468476451,1.4873838689722345,250,13,250,24
Full,ok,9.243042961256558,1.2983968066082618,250,13,250,25
Full,ok,9.366907557502609,0.8442093988642374,250,13,250,26
Full,ok,9.640302575703263,1.012094526798618,250,13,250,27
Full,ok,8.999999694777202,0.7563396772998517,250,13,250,28
Full,ok,9.078147700139555,0.9637701528335516,250,13,250,29
Full,ok,9.039989647081867,0.8159395183633562,250,13,250,30
Full,ok,9.052643009749467,1.0579048380654152,250,13,250,31
Full,ok,9.33912728906355,1.2155334957681185,250,13,250,32
Full,ok,9.430830648770812,1.3271774457500938,250,13,250,33
Full,ok,9.805754395640168,1.3390280661278289,250,13,250,34
Full,ok,9.340106172518785,1.2681307472507548,250,13,250,35
Full,ok,9.537215724953688,1.1743706224349588,250,13,250,36
Full,ok,9.844309310098485,1.6249805738305274,250,13,250,37
Full,ok,9.307243183500525,0.826531000964087,250,13,250,38
Full,ok,9.453551062866927,1.3548600293164044,250,13,250,39
Full,ok,9.10168525376434,1.1686397928689256,250,13,250,40
Full,ok,9.546991848287355,1.0407324411179737,250,13,250,41
Full,ok,8.926056975621671,1.0262673359201688,250,13,250,42
Full,ok,9.529270951095034,1.3351662653031642,250,13,250,43
Full,ok,9.337631340947366,1.1101832372345426,250,13,250,44
Full,ok,8.965056475740752,0.5729722456091363,250,13,250,45
Full,ok,9.652780439038128,1.1672744806825708,250,13,250,46
Full,ok,9.353400002753958,1.3414844398049781,250,13,250,47
Full,ok,9.586554585544494,1.2847998793497097,250,13,250,48
Full,ok,9.092519784825631,1.038974058246516,250,13,250,49
Full,ok,9.725572916626561,1.1771764668196543,250,13,250,50
Full,ok,9.173148749646144,0.9116819078673896,250,13,250,51
Full,ok,9.994462450241832,1.5054111435589448,250,13,250,52
Full,ok,8.878621413289249,0.895190512897041,250,13,250,53
Full,ok,9.022931302407946,0.6656308479763883,250,13,250,54
Full,ok,9.522950398640418,0.8947970740905768,250,13,250,55
Full,ok,9.673231674624876,1.5604634805449449,250,13,250,56
Full,ok,9.275275831862427,0.9778235420394912,250,13,250,57
Full,ok,10.223064638110433,1.7879473263700516,250,13,250,58
Full,ok,8.623775575292775,0.4920432154928601,250,13,250,59
