family,n,models,mean_score,mean_pred,weighted_mae,weighted_rmse,weighted_bias,p90_abs_error
GPT4,10,1,67.75,82.28811617442449,15.182809556638597,23.805079626633056,-14.538116174424493,28.706524555076975
Gemini,6,4,81.48333333333333,69.97455461003707,15.16755406320388,15.92886651233529,11.50877872329625,19.730055897960163
Llama3,24,4,64.72916666666667,76.35744653036049,12.212586278271678,15.265051746903833,-11.628279863693827,26.286073404197282
Gemma,33,4,58.68181818181819,68.77885116887443,11.748290093006544,14.417898764717238,-10.097032987056242,22.25729375061309
Llama4,14,2,66.89285714285712,62.67702271481312,11.418278951934488,13.884875541142835,4.215834428044028,20.592021592702288
Llama2,12,2,35.28333333333334,29.290423731798523,9.44029134924404,11.68920314701873,5.99290960153482,19.226353033426548
Mistral,20,3,55.975,53.68815418831167,8.980247398388798,11.155626104043593,2.7056120969443573,17.885201915127737
OpenAI_o,24,4,81.0125,72.89071156849285,8.621180224491864,12.72272604434196,8.5163725127827,19.188992471284344
Claude,14,3,70.23571428571428,75.78847338021468,8.286492764783855,16.216179618590125,-5.552759094500402,20.702102316518072
Phi,24,3,65.45,62.16946391638228,8.093380857964636,9.752077766592361,3.280536083617721,16.533159746307028
DeepSeek,29,4,78.67586206896553,78.96134595712736,6.931340556213149,9.236734304942155,-0.4535727971083642,14.977037034702668
Qwen2,12,2,71.48333333333333,71.7312898892733,6.1174846720906295,7.004204197208168,-0.24795655593997049,10.096877380028825
Qwen3,28,5,76.28714285714285,80.84148592473659,5.598725326058341,7.574103911775904,-4.55434306759373,12.149354090250917
