protocol_dimension,level,n,weighted_mae,weighted_bias,p90_abs_error
reasoning_effort,high,10,15.7954493312215,15.7954493312215,26.727419691848702
reasoning_effort,none,64,10.266976351143725,-0.07818553775870869,20.46758777131834
reasoning_effort,unknown,136,8.738220118317015,-4.833243814351493,20.017193757289235
reasoning_effort,standard,40,7.845368448077337,1.7323459157058394,16.873507938124366
source,leaderboard,6,9.664421989110732,-4.273825990656189,18.481442598103925
source,cross_report,38,9.502989764849904,-3.272054712328179,18.985170618556893
source,official,202,9.334987193779279,-1.538369025741611,20.334242550035345
thinking,off,64,10.266976351143725,-0.07818553775870869,20.46758777131834
thinking,on,49,9.123695731285581,5.480485970580339,18.622089953354674
thinking,na,135,8.88781915903793,-5.0550565811908434,20.234266634409796
tools_allowed,no,14,12.761342170274515,5.775325293003172,20.31217426706081
tools_allowed,unknown,236,9.088590416568291,-2.202133758570868,20.200941329201278
