model,family,benchmark,score,source,sample_weight,pred_Scale,abs_err_Scale,pred_Scale+Arch,abs_err_Scale+Arch,pred_Scale+Recipe,abs_err_Scale+Recipe,pred_Full,abs_err_Full,prediction,residual,abs_residual,sq_residual,residual_sign,thinking,tools_allowed,reasoning_effort,release_year_norm,source_detail
GPT-4o,GPT4,AIME_2024,9.3,cross_report,0.85,85.67947302032364,76.37947302032364,85.2708856475792,75.97088564757921,60.89273110401012,51.59273110401011,76.39889543197555,67.09889543197555,76.39889543197555,-67.09889543197555,67.09889543197555,4502.261768191189,overpredicted,off,unknown,none,2.400000000000091,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-report)
Claude-3.5-Sonnet,Claude,AIME_2024,16.0,cross_report,0.85,83.5348300691048,67.5348300691048,83.06383575690788,67.06383575690788,54.30940354887976,38.30940354887976,68.75212350254894,52.75212350254894,68.75212350254894,-52.75212350254894,52.75212350254894,2782.7865340281764,overpredicted,off,unknown,none,2.5,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-reported Anthropic baseline)
Gemma-3-4B-Base,Gemma,GSM8K,38.4,official,1.0,73.86190059216544,35.46190059216544,78.08386799424076,39.683867994240764,85.54830710862099,47.14830710862099,77.58131526363434,39.18131526363434,77.58131526363434,-39.18131526363434,39.18131526363434,1535.1754657883052,overpredicted,na,unknown,unknown,3.25,"Gemma 3 tech report arxiv:2503.19786 Tables 10+19 (base, pre-trained)"
o3-mini,OpenAI_o,AIME_2024,87.3,official,1.0,57.762969727419424,29.537030272580573,59.352957882712815,27.947042117287182,64.34489487031735,22.95510512968265,48.346917879340246,38.95308212065975,48.346917879340246,38.95308212065975,38.95308212065975,1517.3426066988623,underpredicted,on,unknown,high,3.0799999999999272,OpenAI o3-mini system card + simple-evals (Jan 2025)
Llama-3.1-405B,Llama3,MATH,37.5,official,1.0,81.0563816254806,43.5563816254806,78.18518916182776,40.685189161827765,77.61204765191259,40.11204765191259,67.90047564917549,30.40047564917549,67.90047564917549,-30.40047564917549,30.40047564917549,924.188919696112,overpredicted,na,unknown,unknown,2.5,Meta Llama 3.1 eval_details.md; 5-shot MMLU=85.2
DeepSeek-V3,DeepSeek,AIME_2024,39.2,official,1.0,61.61072417098275,22.410724170982746,63.81432805554147,24.61432805554147,65.56287627252271,26.362876272522712,68.12662043690214,28.92662043690214,68.12662043690214,-28.92662043690214,28.92662043690214,836.7493699006046,overpredicted,na,unknown,standard,2.9500000000000455,"DeepSeek-V3 tech report arxiv:2412.19437, Table 5 (chat)"
Llama-3.1-8B,Llama3,GSM8K,50.0,official,1.0,75.3322029601924,25.332202960192404,80.16796352737894,30.167963527378944,81.33489880812391,31.33489880812391,76.632742904089,26.632742904089,76.632742904089,-26.632742904089,26.632742904089,709.302994595303,overpredicted,na,unknown,unknown,2.5,Meta Llama 3.1 eval_details.md on GitHub; 5-shot MMLU=65.2
Llama-3.1-70B,Llama3,MATH,30.0,official,1.0,69.75046634037164,39.750466340371645,68.8836065972398,38.883606597239805,65.78385423199767,35.783854231997665,56.29056143226184,26.29056143226184,56.29056143226184,-26.29056143226184,26.29056143226184,691.1936204235337,overpredicted,na,unknown,unknown,2.5,Meta Llama 3.1 eval_details.md; 5-shot MMLU=79.3
Llama-3.1-8B,Llama3,ARC_C,55.0,official,1.0,73.13304025652826,18.13304025652826,80.98820068790268,25.988200687902676,84.82609029187807,29.826090291878074,81.27560133871332,26.275601338713315,81.27560133871332,-26.275601338713315,26.275601338713315,690.407225710993,overpredicted,na,unknown,unknown,2.5,Meta Llama 3.1 eval_details.md on GitHub; 5-shot MMLU=65.2
Llama-3.1-8B,Llama3,MATH,15.8,official,1.0,52.62609951045667,36.82609951045667,55.69807673008065,39.898076730080646,48.14275472126071,32.342754721260704,41.26680876417277,25.46680876417277,41.26680876417277,-25.46680876417277,25.46680876417277,648.5583486309471,overpredicted,na,unknown,unknown,2.5,Meta Llama 3.1 eval_details.md on GitHub; 5-shot MMLU=65.2
o3-mini,OpenAI_o,GPQA_Diamond,79.7,official,1.0,68.27723788210045,11.422762117899552,70.0954166101262,9.60458338987381,69.3884237016792,10.311576298320801,54.33098724468586,25.369012755314145,54.33098724468586,25.369012755314145,25.369012755314145,643.5868081792918,underpredicted,on,unknown,high,3.0799999999999272,OpenAI o3-mini system card + simple-evals (Jan 2025)
Mistral-7B,Mistral,GSM8K,35.4,leaderboard,0.8,68.98637429662475,33.58637429662475,77.36758548931351,41.967585489313514,42.27881641747539,6.878816417475392,60.7011208540162,25.301120854016204,60.7011208540162,-25.301120854016204,25.301120854016204,640.1467164695337,overpredicted,na,unknown,unknown,1.7000000000000455,HF Open LLM Leaderboard v1; Jiang et al. 2023 arxiv:2310.06825
GPT-4o,GPT4,GPQA_Diamond,49.9,cross_report,0.85,85.09106894491867,35.191068944918676,85.17412518417358,35.27412518417358,57.79659881439435,7.896598814394352,74.34070556875493,24.44070556875493,74.34070556875493,-24.44070556875493,24.44070556875493,597.3480886985682,overpredicted,off,unknown,none,2.400000000000091,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-report)
Llama-2-7B,Llama2,ARC_C,53.0,official,1.0,43.616829424936654,9.383170575063346,34.38220972757154,18.617790272428458,32.15650853617809,20.843491463821913,28.567100513445393,24.432899486554607,28.567100513445393,24.432899486554607,24.432899486554607,596.9665773200804,underpredicted,na,unknown,unknown,1.5,"Meta Llama 2 paper Table 3-5, arxiv:2307.09288"
Gemma-3-4B-Base,Gemma,HumanEval,36.0,official,1.0,50.93521042581547,14.93521042581547,58.50358454866176,22.503584548661763,71.94758379343801,35.947583793438014,60.2142547895946,24.214254789594598,60.2142547895946,-24.214254789594598,24.214254789594598,586.330135015405,overpredicted,na,unknown,unknown,3.25,"Gemma 3 tech report arxiv:2503.19786 Tables 10+19 (base, pre-trained)"
