source_policy,scale_policy,target,estimator,spec,mae,mae_std,n,families,status
full,continuous,logit,ridge,Scale,13.083484232139332,2.8005799340947055,308,14,ok
full,continuous,logit,ridge,Scale+Arch,14.0378200435101,2.355197985241697,308,14,ok
full,continuous,logit,ridge,Scale+Recipe,10.025342872986144,2.960219404526969,308,14,ok
full,continuous,logit,ridge,Full,9.157848106886428,2.249382345935772,308,14,ok
full,bucket,logit,ridge,Scale,14.4930686900707,3.031380435079475,308,14,ok
full,bucket,logit,ridge,Scale+Arch,15.494993844289294,2.219946967825648,308,14,ok
full,bucket,logit,ridge,Scale+Recipe,10.208115970322947,2.974656854888324,308,14,ok
full,bucket,logit,ridge,Full,8.817647336659329,2.38477727845775,308,14,ok
official_like,continuous,logit,ridge,Scale,14.138556800107127,3.5521353311667694,250,13,ok
official_like,continuous,logit,ridge,Scale+Arch,14.821991058379988,3.2913609204430854,250,13,ok
official_like,continuous,logit,ridge,Scale+Recipe,11.096592317793531,2.911000070230168,250,13,ok
official_like,continuous,logit,ridge,Full,9.282451127691752,0.8812946128004409,250,13,ok
official_like,bucket,logit,ridge,Scale,15.797747916174579,2.1016460949231135,250,13,ok
official_like,bucket,logit,ridge,Scale+Arch,15.977387394840772,2.2950486476550123,250,13,ok
official_like,bucket,logit,ridge,Scale+Recipe,11.124115974096197,2.743100740320589,250,13,ok
official_like,bucket,logit,ridge,Full,8.579176002837333,0.8675968533200871,250,13,ok
official_only,continuous,logit,ridge,Scale,13.516921821172506,2.6762086671868555,202,11,ok
official_only,continuous,logit,ridge,Scale+Arch,13.722890130516944,2.9158365653926404,202,11,ok
official_only,continuous,logit,ridge,Scale+Recipe,10.998906461815912,4.293967785975617,202,11,ok
official_only,continuous,logit,ridge,Full,8.34534089211685,0.9844926440028507,202,11,ok
official_only,bucket,logit,ridge,Scale,14.583234568544508,2.3038237418645133,202,11,ok
official_only,bucket,logit,ridge,Scale+Arch,15.54525367806831,2.9496923603830876,202,11,ok
official_only,bucket,logit,ridge,Scale+Recipe,11.418145604719305,4.287662580548397,202,11,ok
official_only,bucket,logit,ridge,Full,8.36434458870554,1.644568141532868,202,11,ok
official_like,continuous,raw,ridge,Scale,13.732773132044906,3.0242055558951693,250,13,ok
official_like,continuous,raw,ridge,Scale+Arch,14.55761138020008,3.1084031369746,250,13,ok
official_like,continuous,raw,ridge,Scale+Recipe,11.489388631396091,3.5041137936299314,250,13,ok
official_like,continuous,raw,ridge,Full,10.139067647251483,1.9014132284895906,250,13,ok
